Method,Percentage,TestAcc
Random,100,0.9394913767904122
Herding,100,0.9318912598655364
Forgetting,100,0.9351066939491377
EL2N,100,0.9351066939491377
CCS,100,0.9482607424729611
Random,80,0.937445191464484
Herding,80,0.9356913183279743
Forgetting,80,0.9447529961999416
EL2N,80,0.9356913183279743
CCS,80,0.9365682548962292
Random,50,0.9330605086232096
Herding,50,0.9190295235311312
Forgetting,50,0.9313066354866998
EL2N,50,0.8862905583162818
CCS,50,0.8748903829289681
Random,25,0.9193218357205496
Herding,25,0.8985676702718504
Forgetting,25,0.8985676702718504
EL2N,25,0.7255188541362175
CCS,25,0.6655948553054662
Random,5,0.8178895059923998
Herding,5,0.7813504823151125
Forgetting,5,0.47529961999415377
EL2N,5,0.2344343759134756
CCS,5,0.2110494007600117
